id,actor_standardized,actor_standardized_parent
1,Secretary of the Treasury Board,
2,Deputy heads,
3,Chief Information Officer of the Government of Canada,
4,Departmental Chief Information Officers,
5,TBS-OCIO,
6,TBS,
7,Deputy heads with national or policy responsibilities related to information technology,
8,Departmental Information Management Senior Official,
9,Departmental Email Administrator,
10,Departmental Head of Human Resources,
11,Departmental Delegated Email Administrator,
12,Managers,
13,Employees,
14,"Web managers, functional specialists, Web content owners and equivalents",
15,Senior departmental officials,
16,Departmental Head of Communications,
17,Centres of Expertise,
18,Deputy heads of lead security agencies,
19,Deputy head of SSC,
20,Departmental designated official for cyber security,
21,Departmental designated official for service,
22,Heads of government institutions,
23,FSCI authorized official,
24,Comptroller General of Canada,
25,Departmental Audit Committees,
26,Program and service delivery managers,12
27,Departmental Chief Financial Officer,
28,Managers of designated offices,12
29,"Employees with the respective authorities to initiate, sign or confirm fulfillment of contracts",13
30,Managers in central and common services agencies,12
31,Deputy heads of departments that have an internal audit function,2
32,Deputy heads of departments that do not have an internal audit function,2
33,Employees who participate in telework,13